date,location,population,new_cases,new_deaths,avg_cases,avg_cases_per_mili,avg_death,avg_death_per_mili
2021/12/26,Australia,26177410,9884,6,,,,
2021/12/27,Australia,26177410,11797,6,,,,
2021/12/28,Australia,26177410,17678,8,,,,
2021/12/29,Australia,26177410,21369,14,,,,
2021/12/30,Australia,26177410,33811,15,,,,
2021/12/31,Australia,26177410,30363,14,,,,
2022/1/1,Australia,26177410,37459,4,23194.42857,886.0474956,9.571428571,0.365636958
2022/1/2,Australia,26177410,29608,9,26012.14286,993.6866503,10,0.382008763
2022/1/3,Australia,26177410,44745,4,30719,1173.492718,9.714285714,0.371094226
2022/1/4,Australia,26177410,71495,20,38407.14286,1467.186511,11.42857143,0.436581443
2022/1/5,Australia,26177410,75426,12,46129.57143,1762.19005,11.14285714,0.425666907
2022/1/6,Australia,26177410,78229,19,52475,2004.590981,11.71428571,0.447495979
2022/1/7,Australia,26177410,98092,16,62150.57143,2374.206288,12,0.458410515
2022/1/8,Australia,26177410,111907,29,72786,2780.488979,15.57142857,0.594842216
2022/1/9,Australia,26177410,72834,21,78961.14286,3016.384847,17.28571429,0.660329432
2022/1/10,Australia,26177410,93806,28,85969.85714,3284.123874,20.71428571,0.791303865
2022/1/11,Australia,26177410,84408,50,87814.57143,3354.593576,25,0.955021906
2022/1/12,Australia,26177410,175271,57,102078.1429,3899.474503,31.42857143,1.200598968
2022/1/13,Australia,26177410,128185,50,109214.7143,4172.097785,35.85714286,1.369774277
2022/1/14,Australia,26177410,86288,49,107528.4286,4107.680193,40.57142857,1.549864122
2022/1/15,Australia,26177410,112867,52,107665.5714,4112.919171,43.85714286,1.675381287
2022/1/16,Australia,26177410,59891,19,105816.5714,4042.285751,43.57142857,1.664466751
2022/1/17,Australia,26177410,84355,81,104466.4286,3990.70911,51.14285714,1.953701957
2022/1/18,Australia,26177410,84615,70,104496,3991.838765,54,2.062847318
2022/1/19,Australia,26177410,67604,47,89115,3404.271087,52.57142857,2.008274637
2022/1/20,Australia,26177410,63941,88,79937.28571,3053.674359,58,2.215650823
2022/1/21,Australia,26177410,43166,65,73777,2818.346047,60.28571429,2.302967111
2022/1/22,Australia,26177410,67182,78,67250.57143,2569.030757,64,2.44485608
2022/1/23,Australia,26177410,32234,27,63299.57143,2418.099095,65.14285714,2.488514224
2022/1/24,Australia,26177410,58022,82,59537.71429,2274.392856,65.28571429,2.493971492
2022/1/25,Australia,26177410,52920,69,55009.85714,2101.424745,65.14285714,2.488514224
2022/1/26,Australia,26177410,51016,91,52640.14286,2010.899583,71.42857143,2.728634018
2022/1/27,Australia,26177410,66223,87,52966.14286,2023.353069,71.28571429,2.72317675
2022/1/28,Australia,26177410,65980,155,56225.28571,2147.855182,84.14285714,3.214330873
2022/1/29,Australia,26177410,47258,86,53379,2039.124573,85.28571429,3.257989017
2022/1/30,Australia,26177410,36719,42,54019.71429,2063.600421,87.42857143,3.339848038
2022/1/31,Australia,26177410,,75,53352.66667,2038.118617,86.42857143,3.301647162
2022/2/1,Australia,26177410,40146,70,51223.66667,1956.788951,86.57142857,3.30710443
2022/2/2,Australia,26177410,24228,82,46759,1786.234773,85.28571429,3.257989017
2022/2/3,Australia,26177410,32179,86,41085,1569.483001,85.14285714,3.252531749
2022/2/4,Australia,26177410,27336,81,34644.33333,1323.44389,74.57142857,2.848693915
2022/2/5,Australia,26177410,22985,46,30598.83333,1168.902246,68.85714286,2.630403193
2022/2/6,Australia,26177410,25247,48,28686.83333,1095.86217,69.71428571,2.663146802
2022/2/7,Australia,26177410,27373,54,28499.14286,1088.69223,66.71428571,2.548544173
2022/2/8,Australia,26177410,31510,71,27265.42857,1041.563263,66.85714286,2.554001441
2022/2/9,Australia,26177410,11483,49,25444.71429,972.0103817,62.14285714,2.373911596
2022/2/10,Australia,26177410,31250,57,25312,966.9405797,58,2.215650823
2022/2/11,Australia,26177410,22564,64,24630.28571,940.8984966,55.57142857,2.122877266
2022/2/12,Australia,26177410,25607,50,25004.85714,955.2074534,56.14285714,2.144706338
2022/2/13,Australia,26177410,12289,11,23153.71429,884.4921742,50.85714286,1.942787421
2022/2/14,Australia,26177410,30913,60,23659.42857,903.810903,51.71428571,1.975531029
2022/2/15,Australia,26177410,24394,62,22642.85714,864.9769837,50.42857143,1.926415617
2022/2/16,Australia,26177410,,71,24502.83333,936.029704,53.57142857,2.046475513
2022/2/17,Australia,26177410,22729,36,23082.66667,881.7780929,50.57142857,1.931872885
2022/2/18,Australia,26177410,23217,45,23191.5,885.9356216,47.85714286,1.828184792
2022/2/19,Australia,26177410,17376,34,21819.66667,833.5303862,45.57142857,1.740868503
2022/2/20,Australia,26177410,18219,17,22808,871.2855855,46.42857143,1.773612112
2022/2/21,Australia,26177410,25163,37,21849.66667,834.6764125,43.14285714,1.648094947
2022/2/22,Australia,26177410,25229,59,21988.83333,839.9927011,42.71428571,1.631723143
2022/2/23,Australia,26177410,24852,37,22397.85714,855.617769,37.85714286,1.44617603
2022/2/24,Australia,26177410,26670,33,22960.85714,877.1248623,37.42857143,1.429804225
2022/2/25,Australia,26177410,19803,36,22473.14286,858.4937493,36.14285714,1.380688813
2022/2/26,Australia,26177410,17543,26,22497,859.405113,35,1.337030669
2022/2/27,Australia,26177410,21482,14,22963.14286,877.2121786,34.57142857,1.320658865
2022/2/28,Australia,26177410,25418,39,22999.57143,878.603782,34.85714286,1.331573401
